id_order_detail,id_user,id_produk,jumlah_pembelian,subtotal_transaksi,metode_bayar,rating_transaksi,jam_pesanan,waktu_pesanan,nama_produk,kategori_produk,harga_asli_produk,stok_aktual,total_terjual_global,rating_rata_rata_produk,is_organik
50046,1024,121,2,50000,COD,3,11,2026-04-08 11:48:06,Paprika Merah,Sayuran,25000,55,64,4.21,0
50047,1256,148,1,35000,QRIS,2,10,2026-05-16 10:39:18,Bawang Merah,Rempah,35000,101,63,3.92,0
50048,1017,150,1,28000,QRIS,3,16,2026-05-23 16:38:02,Cabai Kering,Rempah,28000,63,56,3.98,0
50049,1287,129,1,22000,QRIS,4,19,2026-05-08 19:00:56,Jeruk Peras,Buah-buahan,22000,118,55,4.06,0
50050,1246,166,1,48000,QRIS,5,8,2026-06-24 08:45:42,Jamur King Oyster Organik,Jamur,48000,15,38,4.96,1
50051,1399,150,1,24000,QRIS,3,15,2026-05-19 15:47:18,Cabai Kering,Rempah,28000,63,56,3.98,0
50052,1035,138,2,36000,COD,3,16,2026-04-05 16:36:37,Nanas Madu,Buah-buahan,18000,110,62,4.25,0
50053,1255,130,2,56000,QRIS,5,11,2026-03-14 11:22:31,Jeruk Siam Organik,Buah-buahan,28000,36,69,4.6,1
50054,1208,150,2,56000,Transfer Bank,3,12,2026-06-04 12:25:57,Cabai Kering,Rempah,28000,63,56,3.98,0
50055,1028,115,1,10000,QRIS,3,9,2026-01-05 09:24:37,Buncis Segar,Sayuran,10000,69,68,4.26,0
50056,1377,139,2,37000,QRIS,2,6,2026-02-13 06:16:25,Semangka Tanpa Biji,Buah-buahan,20000,37,57,3.6,0
50057,1468,139,1,17500,QRIS,4,12,2026-02-21 12:10:39,Semangka Tanpa Biji,Buah-buahan,20000,37,57,3.6,0
50058,1010,141,1,28000,QRIS,4,16,2026-04-15 16:19:18,Jahe Merah Organik,Rempah,28000,18,59,4.37,1
50059,1226,146,3,37500,COD,4,18,2026-01-01 18:24:42,Lengkuas Segar,Rempah,14000,36,78,4.21,0
50060,1103,112,1,28000,Transfer Bank,2,8,2026-04-27 08:58:48,Cabai Merah Besar,Sayuran,28000,107,62,4.03,0
50061,1444,161,3,107500,QRIS,4,15,2026-01-23 15:36:53,Jamur Shiitake Segar,Jamur,42000,76,38,4.02,0
50062,1463,106,3,30500,QRIS,4,8,2026-06-15 08:52:06,Wortel Baby,Sayuran,12000,103,70,4.11,0
50063,1136,161,1,42000,QRIS,3,7,2026-03-10 07:38:16,Jamur Shiitake Segar,Jamur,42000,76,38,4.02,0
50064,1013,122,2,14000,QRIS,5,8,2026-05-22 08:24:12,Kol Putih,Sayuran,8000,118,72,4.54,0
50065,1209,139,2,40000,COD,1,11,2026-03-23 11:12:12,Semangka Tanpa Biji,Buah-buahan,20000,37,57,3.6,0
50066,1273,148,4,140000,COD,4,17,2026-04-15 17:56:09,Bawang Merah,Rempah,35000,101,63,3.92,0
50067,1413,137,1,42500,Transfer Bank,5,11,2026-04-18 11:36:24,Stroberi Organik,Buah-buahan,45000,12,43,4.61,1
50068,1431,132,1,32000,QRIS,3,22,2026-06-24 22:10:12,Alpukat Mentega,Buah-buahan,32000,117,55,4.0,0
50069,1225,108,1,11000,QRIS,2,23,2026-05-14 23:09:42,Selada Keriting,Sayuran,11000,43,83,3.98,0
50070,1225,102,1,8500,COD,3,3,2026-04-26 03:48:58,Sawi Hijau,Sayuran,8500,47,81,4.01,0
50071,1489,134,2,32000,COD,2,12,2026-05-15 12:24:08,Jambu Biji Merah,Buah-buahan,16000,37,66,3.93,0
50072,1067,104,2,33500,COD,2,6,2026-01-05 06:10:58,Brokoli Premium,Sayuran,18000,73,70,3.61,0
50073,1225,164,1,25000,QRIS,5,10,2026-05-05 10:12:16,Jamur Enoki Segar,Jamur,25000,30,53,4.66,0
50074,1113,108,2,22000,Transfer Bank,3,12,2026-05-01 12:05:23,Selada Keriting,Sayuran,11000,43,83,3.98,0
50075,1146,131,3,38500,QRIS,5,8,2026-03-06 08:06:04,Pepaya California,Buah-buahan,14000,38,74,4.12,0
50076,1234,160,5,152000,COD,5,12,2026-04-07 12:01:31,Jamur Tiram Organik,Jamur,35000,26,48,4.01,1
50077,1012,164,2,44500,Transfer Bank,5,22,2026-03-16 22:05:18,Jamur Enoki Segar,Jamur,25000,30,53,4.66,0
50078,1413,111,1,20000,Transfer Bank,4,11,2026-04-18 11:03:26,Tomat Cherry Organik,Sayuran,20000,33,63,4.49,1
50079,1191,163,2,64000,Transfer Bank,4,5,2026-03-18 05:49:13,Jamur Kuping Hitam,Jamur,32000,32,65,4.17,0
50080,1191,129,2,44000,Transfer Bank,4,11,2026-03-26 11:22:25,Jeruk Peras,Buah-buahan,22000,118,55,4.06,0
50081,1481,121,1,25000,QRIS,3,23,2026-05-11 23:51:31,Paprika Merah,Sayuran,25000,55,64,4.21,0
50082,1129,137,3,135000,QRIS,5,8,2026-03-01 08:57:37,Stroberi Organik,Buah-buahan,45000,12,43,4.61,1
50083,1014,131,2,28000,COD,4,8,2026-04-14 08:24:16,Pepaya California,Buah-buahan,14000,38,74,4.12,0
50084,1092,161,3,126000,Transfer Bank,3,17,2026-06-15 17:24:29,Jamur Shiitake Segar,Jamur,42000,76,38,4.02,0
50085,1205,142,2,30000,QRIS,4,14,2026-06-22 14:52:52,Kunyit Segar,Rempah,15000,62,72,4.29,0
50086,1385,135,3,62000,QRIS,4,9,2026-01-06 09:40:07,Buah Naga Merah,Buah-buahan,22000,117,60,3.87,0
50087,1266,144,2,36000,QRIS,3,6,2026-06-20 06:32:09,Temulawak Segar,Rempah,18000,70,66,4.23,0
50088,1423,155,1,7500,QRIS,4,9,2026-06-26 09:49:14,Singkong Segar,Umbi-umbian,8000,117,83,4.07,0
50089,1481,157,1,15500,COD,2,15,2026-01-18 15:11:07,Kentang Granola,Umbi-umbian,18000,73,74,4.01,0
50090,1327,105,2,44000,QRIS,4,17,2026-03-09 17:41:13,Brokoli Organik,Sayuran,22000,30,73,4.44,1
50091,1458,155,2,16000,Transfer Bank,4,13,2026-03-23 13:45:35,Singkong Segar,Umbi-umbian,8000,117,83,4.07,0
50092,1172,108,1,11000,Transfer Bank,2,17,2026-01-27 17:02:27,Selada Keriting,Sayuran,11000,43,83,3.98,0
50093,1201,113,1,27500,QRIS,5,8,2026-04-05 08:03:27,Cabai Rawit,Sayuran,32000,116,61,4.37,0
50094,1363,105,3,66000,QRIS,5,12,2026-04-06 12:38:41,Brokoli Organik,Sayuran,22000,30,73,4.44,1
50095,1242,159,2,56000,QRIS,5,20,2026-03-26 20:07:35,Jamur Tiram Putih,Jamur,28000,64,51,4.07,0
50096,1239,146,2,28000,QRIS,3,14,2026-05-15 14:13:55,Lengkuas Segar,Rempah,14000,36,78,4.21,0
50097,1230,139,1,20000,QRIS,2,13,2026-05-05 13:00:39,Semangka Tanpa Biji,Buah-buahan,20000,37,57,3.6,0
50098,1459,149,1,30000,QRIS,4,21,2026-01-05 21:19:07,Bawang Putih,Rempah,32000,41,58,4.07,0
50099,1170,141,4,112000,QRIS,5,8,2026-04-24 08:27:46,Jahe Merah Organik,Rempah,28000,18,59,4.37,1
50100,1206,139,2,40000,QRIS,2,13,2026-03-06 13:36:52,Semangka Tanpa Biji,Buah-buahan,20000,37,57,3.6,0
50101,1058,156,1,13500,QRIS,3,12,2026-02-25 12:49:28,Talas Bogor,Umbi-umbian,16000,66,76,3.9,0
50102,1184,101,2,18000,QRIS,5,8,2026-02-21 08:00:54,Kangkung Organik,Sayuran,9000,38,80,4.27,1
50103,1263,163,1,28500,COD,4,8,2026-02-17 08:25:07,Jamur Kuping Hitam,Jamur,32000,32,65,4.17,0
50104,1302,163,2,64000,COD,3,3,2026-05-09 03:25:27,Jamur Kuping Hitam,Jamur,32000,32,65,4.17,0
50105,1449,160,5,175000,COD,5,4,2026-01-11 04:03:33,Jamur Tiram Organik,Jamur,35000,26,48,4.01,1
50106,1380,154,3,54000,QRIS,3,20,2026-01-21 20:14:00,Ubi Jalar Organik,Umbi-umbian,18000,16,62,4.14,1
50107,1075,110,2,32000,QRIS,2,13,2026-03-12 13:37:25,Tomat Cherry,Sayuran,16000,44,64,3.9,0
50108,1266,157,2,36000,Transfer Bank,3,15,2026-06-21 15:28:25,Kentang Granola,Umbi-umbian,18000,73,74,4.01,0
50109,1152,141,1,28000,Transfer Bank,5,10,2026-02-12 10:58:42,Jahe Merah Organik,Rempah,28000,18,59,4.37,1
50110,1492,110,3,41000,COD,2,11,2026-03-02 11:13:03,Tomat Cherry,Sayuran,16000,44,64,3.9,0
50111,1495,167,2,90000,COD,1,15,2026-06-18 15:01:48,Jamur Portobello,Jamur,45000,43,38,3.8,0
50112,1076,122,1,8000,QRIS,5,7,2026-02-24 07:35:19,Kol Putih,Sayuran,8000,118,72,4.54,0
50113,1451,110,1,16000,QRIS,2,18,2026-06-22 18:20:21,Tomat Cherry,Sayuran,16000,44,64,3.9,0
50114,1219,155,1,8000,Transfer Bank,3,8,2026-05-04 08:49:23,Singkong Segar,Umbi-umbian,8000,117,83,4.07,0
50115,1018,151,3,45000,Transfer Bank,4,15,2026-02-05 15:46:48,Ubi Cilembu,Umbi-umbian,15000,62,62,4.5,0
50116,1482,105,3,60500,QRIS,5,12,2026-01-25 12:01:34,Brokoli Organik,Sayuran,22000,30,73,4.44,1
50117,1262,159,2,56000,QRIS,3,10,2026-03-04 10:25:37,Jamur Tiram Putih,Jamur,28000,64,51,4.07,0
50118,1041,155,4,32000,QRIS,3,17,2026-04-13 17:48:01,Singkong Segar,Umbi-umbian,8000,117,83,4.07,0
50119,1443,112,3,84000,QRIS,2,8,2026-03-22 08:05:01,Cabai Merah Besar,Sayuran,28000,107,62,4.03,0
50120,1214,168,1,30000,COD,3,10,2026-01-23 10:15:41,Jamur Merang Segar,Jamur,30000,56,58,4.16,0
50121,1445,159,1,28000,QRIS,4,18,2026-06-13 18:22:27,Jamur Tiram Putih,Jamur,28000,64,51,4.07,0
50122,1114,103,1,10000,COD,5,23,2026-01-21 23:15:11,Sawi Hijau Organik,Sayuran,10000,52,74,4.68,1
50123,1037,108,1,10000,QRIS,3,5,2026-01-09 05:00:10,Selada Keriting,Sayuran,11000,43,83,3.98,0
50124,1322,161,1,42000,Transfer Bank,3,11,2026-05-20 11:41:11,Jamur Shiitake Segar,Jamur,42000,76,38,4.02,0
50125,1238,142,1,15000,Transfer Bank,4,13,2026-06-06 13:02:15,Kunyit Segar,Rempah,15000,62,72,4.29,0
50126,1006,165,1,33500,QRIS,4,6,2026-01-22 06:32:35,Jamur King Oyster,Jamur,38000,34,52,3.9,0
50127,1094,105,2,39500,Transfer Bank,5,14,2026-05-02 14:07:20,Brokoli Organik,Sayuran,22000,30,73,4.44,1
50128,1481,129,2,44000,QRIS,3,8,2026-06-11 08:01:22,Jeruk Peras,Buah-buahan,22000,118,55,4.06,0
50129,1466,167,1,40500,QRIS,3,13,2026-01-23 13:18:08,Jamur Portobello,Jamur,45000,43,38,3.8,0
50130,1098,106,1,10500,QRIS,3,17,2026-04-20 17:28:51,Wortel Baby,Sayuran,12000,103,70,4.11,0
50131,1419,117,2,18000,QRIS,4,11,2026-04-22 11:13:06,Jagung Manis Organik,Sayuran,9000,11,72,4.35,1
50132,1228,144,1,16500,QRIS,4,21,2026-05-01 21:12:20,Temulawak Segar,Rempah,18000,70,66,4.23,0
50133,1473,117,1,9000,Transfer Bank,5,22,2026-04-11 22:20:51,Jagung Manis Organik,Sayuran,9000,11,72,4.35,1
50134,1255,147,1,8000,QRIS,4,12,2026-06-10 12:20:41,Sereh Segar,Rempah,8000,102,83,4.52,0
50135,1396,113,1,32000,Transfer Bank,3,6,2026-05-01 06:09:49,Cabai Rawit,Sayuran,32000,116,61,4.37,0
50136,1313,158,1,22000,Transfer Bank,5,17,2026-05-19 17:04:31,Bit Merah Organik,Umbi-umbian,22000,44,56,4.58,1
50137,1427,153,2,24500,QRIS,3,15,2026-01-05 15:19:20,Ubi Jalar Ungu,Umbi-umbian,14000,52,78,3.92,0
50138,1231,114,1,9000,QRIS,4,9,2026-02-06 09:46:31,Terong Ungu,Sayuran,9000,91,76,4.02,0
50139,1367,161,5,210000,Transfer Bank,3,9,2026-01-04 09:03:13,Jamur Shiitake Segar,Jamur,42000,76,38,4.02,0
50140,1104,146,2,28000,QRIS,4,13,2026-05-16 13:31:31,Lengkuas Segar,Rempah,14000,36,78,4.21,0
50141,1379,142,1,15000,QRIS,4,4,2026-06-26 04:24:49,Kunyit Segar,Rempah,15000,62,72,4.29,0
50142,1277,167,1,45000,Transfer Bank,3,20,2026-04-09 20:46:17,Jamur Portobello,Jamur,45000,43,38,3.8,0
50143,1148,122,3,24000,Transfer Bank,5,11,2026-04-11 11:21:21,Kol Putih,Sayuran,8000,118,72,4.54,0
50144,1234,118,1,7000,Transfer Bank,3,13,2026-04-13 13:21:42,Pakcoy Segar,Sayuran,8000,111,85,3.91,0
50145,1420,111,2,40000,QRIS,5,12,2026-05-15 12:07:41,Tomat Cherry Organik,Sayuran,20000,33,63,4.49,1
50146,1185,163,1,32000,Transfer Bank,3,8,2026-02-21 08:45:38,Jamur Kuping Hitam,Jamur,32000,32,65,4.17,0
50147,1218,109,1,14000,Transfer Bank,4,10,2026-01-14 10:13:56,Selada Organik,Sayuran,14000,20,65,4.16,1
50148,1417,130,3,84000,Transfer Bank,5,15,2026-04-20 15:09:23,Jeruk Siam Organik,Buah-buahan,28000,36,69,4.6,1
50149,1226,148,1,33000,QRIS,2,15,2026-05-20 15:16:54,Bawang Merah,Rempah,35000,101,63,3.92,0
50150,1070,118,2,16000,QRIS,4,14,2026-02-19 14:30:18,Pakcoy Segar,Sayuran,8000,111,85,3.91,0
50151,1304,115,2,20000,Transfer Bank,5,7,2026-04-19 07:47:44,Buncis Segar,Sayuran,10000,69,68,4.26,0
50152,1227,114,1,9000,QRIS,4,16,2026-06-13 16:32:16,Terong Ungu,Sayuran,9000,91,76,4.02,0
50153,1197,149,2,64000,QRIS,4,17,2026-01-26 17:15:04,Bawang Putih,Rempah,32000,41,58,4.07,0
50154,1499,134,1,14000,QRIS,4,9,2026-05-05 09:19:48,Jambu Biji Merah,Buah-buahan,16000,37,66,3.93,0
50155,1404,135,2,38500,QRIS,3,12,2026-01-04 12:05:40,Buah Naga Merah,Buah-buahan,22000,117,60,3.87,0
50156,1181,133,1,40000,QRIS,5,7,2026-02-16 07:15:53,Alpukat Organik,Buah-buahan,40000,25,42,4.23,1
50157,1478,114,1,9000,QRIS,3,17,2026-02-11 17:56:20,Terong Ungu,Sayuran,9000,91,76,4.02,0
50158,1195,165,1,33500,QRIS,2,17,2026-02-12 17:55:13,Jamur King Oyster,Jamur,38000,34,52,3.9,0
50159,1312,116,2,14000,QRIS,3,22,2026-03-25 22:20:11,Jagung Manis,Sayuran,7000,114,80,3.83,0
50160,1444,132,1,27500,QRIS,3,7,2026-01-07 07:21:48,Alpukat Mentega,Buah-buahan,32000,117,55,4.0,0
50161,1016,163,2,64000,Transfer Bank,4,8,2026-01-02 08:09:33,Jamur Kuping Hitam,Jamur,32000,32,65,4.17,0
50162,1143,147,1,7000,QRIS,4,14,2026-04-26 14:03:45,Sereh Segar,Rempah,8000,102,83,4.52,0
50163,1371,134,2,32000,COD,3,8,2026-02-26 08:48:01,Jambu Biji Merah,Buah-buahan,16000,37,66,3.93,0
50164,1408,141,1,28000,QRIS,5,10,2026-03-24 10:11:09,Jahe Merah Organik,Rempah,28000,18,59,4.37,1
50165,1007,140,1,22000,Transfer Bank,3,17,2026-06-08 17:17:41,Jahe Merah Segar,Rempah,22000,64,73,4.21,0
50166,1315,132,2,64000,QRIS,3,17,2026-05-16 17:42:36,Alpukat Mentega,Buah-buahan,32000,117,55,4.0,0
50167,1259,134,3,42000,COD,2,21,2026-05-23 21:52:20,Jambu Biji Merah,Buah-buahan,16000,37,66,3.93,0
50168,1157,127,2,56000,COD,4,7,2026-02-26 07:04:34,Mangga Harum Manis,Buah-buahan,28000,74,56,3.8,0
50169,1188,164,1,22000,COD,5,9,2026-01-21 09:23:33,Jamur Enoki Segar,Jamur,25000,30,53,4.66,0
50170,1469,102,3,25500,QRIS,3,9,2026-02-26 09:10:56,Sawi Hijau,Sayuran,8500,47,81,4.01,0
50171,1278,121,2,50000,Transfer Bank,3,10,2026-04-16 10:33:01,Paprika Merah,Sayuran,25000,55,64,4.21,0
50172,1482,100,2,16000,QRIS,4,6,2026-04-26 06:24:46,Bayam Hijau Segar,Sayuran,8000,83,75,4.15,0
50173,1293,132,1,32000,Transfer Bank,2,5,2026-04-12 05:16:38,Alpukat Mentega,Buah-buahan,32000,117,55,4.0,0
50174,1392,118,3,24000,QRIS,3,15,2026-06-14 15:35:52,Pakcoy Segar,Sayuran,8000,111,85,3.91,0
50175,1327,102,1,8500,Transfer Bank,3,11,2026-06-26 11:37:22,Sawi Hijau,Sayuran,8500,47,81,4.01,0
50176,1149,126,3,45000,COD,2,9,2026-01-19 09:46:51,Pisang Cavendish,Buah-buahan,15000,44,71,3.74,0
50177,1397,164,1,23500,QRIS,5,7,2026-05-03 07:40:58,Jamur Enoki Segar,Jamur,25000,30,53,4.66,0
50178,1333,118,2,16000,COD,3,4,2026-01-16 04:29:11,Pakcoy Segar,Sayuran,8000,111,85,3.91,0
50179,1034,159,1,28000,Transfer Bank,3,17,2026-05-03 17:43:32,Jamur Tiram Putih,Jamur,28000,64,51,4.07,0
50180,1200,135,4,88000,Transfer Bank,1,15,2026-04-22 15:11:45,Buah Naga Merah,Buah-buahan,22000,117,60,3.87,0
50181,1046,140,1,19000,QRIS,4,10,2026-04-04 10:21:11,Jahe Merah Segar,Rempah,22000,64,73,4.21,0
50182,1428,137,5,225000,QRIS,5,9,2026-03-10 09:00:56,Stroberi Organik,Buah-buahan,45000,12,43,4.61,1
50183,1092,110,2,32000,QRIS,3,14,2026-05-06 14:48:45,Tomat Cherry,Sayuran,16000,44,64,3.9,0
50184,1368,136,1,38000,QRIS,2,3,2026-06-09 03:08:23,Stroberi Segar,Buah-buahan,38000,92,48,3.99,0
50185,1036,149,1,32000,QRIS,3,18,2026-03-14 18:18:10,Bawang Putih,Rempah,32000,41,58,4.07,0
50186,1332,155,4,32000,QRIS,3,7,2026-02-07 07:27:57,Singkong Segar,Umbi-umbian,8000,117,83,4.07,0
50187,1452,121,1,23500,QRIS,4,14,2026-02-04 14:29:32,Paprika Merah,Sayuran,25000,55,64,4.21,0
50188,1126,121,2,50000,Transfer Bank,2,6,2026-01-07 06:01:28,Paprika Merah,Sayuran,25000,55,64,4.21,0
50189,1104,109,2,28000,Transfer Bank,3,19,2026-04-03 19:19:05,Selada Organik,Sayuran,14000,20,65,4.16,1
50190,1154,113,2,64000,Transfer Bank,4,13,2026-03-01 13:54:44,Cabai Rawit,Sayuran,32000,116,61,4.37,0
50191,1462,141,1,28000,Transfer Bank,5,7,2026-06-11 07:17:35,Jahe Merah Organik,Rempah,28000,18,59,4.37,1
50192,1098,112,1,28000,COD,4,13,2026-01-23 13:39:10,Cabai Merah Besar,Sayuran,28000,107,62,4.03,0
50193,1047,145,1,16000,QRIS,3,10,2026-04-05 10:55:00,Kencur Segar,Rempah,16000,57,79,4.0,0
50194,1192,126,4,60000,QRIS,2,10,2026-05-08 10:33:47,Pisang Cavendish,Buah-buahan,15000,44,71,3.74,0
50195,1115,102,2,14500,QRIS,4,13,2026-03-11 13:44:03,Sawi Hijau,Sayuran,8500,47,81,4.01,0
50196,1153,154,1,17000,QRIS,4,3,2026-06-04 03:17:08,Ubi Jalar Organik,Umbi-umbian,18000,16,62,4.14,1
50197,1368,129,1,19000,QRIS,4,14,2026-01-17 14:12:33,Jeruk Peras,Buah-buahan,22000,118,55,4.06,0
50198,1364,141,3,84000,QRIS,4,18,2026-04-11 18:38:03,Jahe Merah Organik,Rempah,28000,18,59,4.37,1
50199,1498,165,1,33000,COD,2,13,2026-03-18 13:39:21,Jamur King Oyster,Jamur,38000,34,52,3.9,0
50200,1248,148,3,91000,Transfer Bank,4,11,2026-06-13 11:46:11,Bawang Merah,Rempah,35000,101,63,3.92,0
50201,1245,151,1,15000,QRIS,5,17,2026-04-06 17:16:50,Ubi Cilembu,Umbi-umbian,15000,62,62,4.5,0
50202,1146,104,2,36000,Transfer Bank,4,6,2026-06-24 06:22:14,Brokoli Premium,Sayuran,18000,73,70,3.61,0
50203,1410,104,2,36000,Transfer Bank,1,12,2026-02-19 12:46:46,Brokoli Premium,Sayuran,18000,73,70,3.61,0
50204,1259,130,3,80000,COD,4,12,2026-05-13 12:46:45,Jeruk Siam Organik,Buah-buahan,28000,36,69,4.6,1
50205,1188,133,4,160000,QRIS,4,1,2026-06-21 01:15:11,Alpukat Organik,Buah-buahan,40000,25,42,4.23,1
50206,1193,138,1,18000,QRIS,5,16,2026-05-13 16:39:07,Nanas Madu,Buah-buahan,18000,110,62,4.25,0
50207,1388,166,3,144000,COD,5,18,2026-06-04 18:29:30,Jamur King Oyster Organik,Jamur,48000,15,38,4.96,1
50208,1357,107,1,15000,Transfer Bank,5,13,2026-02-10 13:15:37,Wortel Baby Organik,Sayuran,15000,28,77,4.51,1
50209,1187,127,1,24000,Transfer Bank,3,16,2026-06-24 16:54:26,Mangga Harum Manis,Buah-buahan,28000,74,56,3.8,0
50210,1117,164,1,25000,QRIS,5,12,2026-06-17 12:54:22,Jamur Enoki Segar,Jamur,25000,30,53,4.66,0
50211,1031,120,1,6000,Transfer Bank,2,13,2026-04-14 13:51:52,Timun Segar,Sayuran,7000,53,77,3.8,0
